refseq_ncrna	transcript_biotype
NR_040425	lincRNA
NR_040426	lincRNA
NR_040654	lincRNA
NR_045695	antisense
NR_033526	processed_transcript
NR_003965	processed_transcript
NR_028580	lincRNA
NR_040750	lincRNA
NR_033213	antisense
NR_028583	processed_transcript
NR_040516	lincRNA
NR_040602	antisense
NR_040375	processed_transcript
NR_040721	lincRNA
NR_033630	processed_transcript
NR_030735	processed_transcript
NR_030733	processed_transcript
NR_030734	processed_transcript
NR_045911	antisense
NR_027805	lincRNA
	macro_lncRNA
NR_046179	lincRNA
NR_104446	processed_transcript
NR_028499	processed_transcript
NR_030712	lincRNA
NR_045288	lincRNA
NR_132444	processed_transcript
NR_102290	lincRNA
NR_045698	antisense
NR_038347	lincRNA
NR_038348	lincRNA
NR_015536	lincRNA
NR_027943	lincRNA
NR_015610	lincRNA
NR_040332	lincRNA
NR_130964	lincRNA
NR_130965	lincRNA
NR_045744	lincRNA
NR_045742	antisense
NR_033207	antisense
NR_121588	lincRNA
NR_121589	lincRNA
NR_045871	lincRNA
NR_045315	antisense
NR_045749	lincRNA
NR_110488	lincRNA
NR_028329	antisense
NR_040443	lincRNA
NR_102374	sense_intronic
NR_102372	sense_intronic
NR_102373	sense_intronic
NR_040432	sense_intronic
NR_077063	antisense
NR_040523	antisense
NR_040275	antisense
NR_040748	lincRNA
NR_045140	lincRNA
NR_045942	lincRNA
NR_045717	antisense
NR_045451	processed_transcript
NR_045452	processed_transcript
NR_132633	processed_transcript
NR_040297	lincRNA
NR_040634	lincRNA
NR_045798	antisense
NR_038055	lincRNA
NR_036602	processed_transcript
NR_045961	processed_transcript
NR_044987	antisense
NR_045267	antisense
NR_038136	lincRNA
NR_038140	processed_transcript
NR_126562	antisense
NR_033538	antisense
NR_046180	lincRNA
NR_045287	antisense
NR_045297	lincRNA
NR_045420	lincRNA
NR_040501	lincRNA
NR_040766	lincRNA
NR_040437	antisense
NR_104416	retained_intron
NR_040592	lincRNA
NR_045282	processed_transcript
NR_111891	processed_transcript
NR_045921	lincRNA
NR_130988	antisense
NR_045163	antisense
NR_045165	antisense
NR_003282	antisense
NR_004843	retained_intron
NR_036588	lincRNA
NR_029432	antisense
NR_015467	processed_transcript
NR_045069	lincRNA
NR_073203	processed_transcript
NR_045938	lincRNA
NR_108086	lincRNA
NR_131042	processed_transcript
NR_110484	processed_transcript
NR_045730	lincRNA
NR_040613	antisense
NR_015505	processed_transcript
NR_131138	antisense
NR_045463	processed_transcript
NR_132128	lincRNA
NR_130998	lincRNA
NR_004434	lincRNA
NR_033513	processed_transcript
NR_038006	antisense
NR_033605	transcribed_processed_pseudogene
NR_040700	lincRNA
NR_040393	antisense
NR_040394	antisense
NR_138586	lincRNA
NR_040396	antisense
NR_040397	antisense
NR_073164	retained_intron
NR_045761	processed_transcript
NR_110502	antisense
NR_110353	processed_transcript
NR_040666	antisense
NR_126433	antisense
NR_131921	antisense
NR_045178	antisense
NR_040684	antisense
NR_033197	antisense
NR_033517	lincRNA
NR_040625	antisense
NR_040354	antisense
NR_045932	antisense
NR_037976	antisense
NR_045473	lincRNA
NR_038090	lincRNA
NR_047528	lincRNA
NR_033504	antisense
NR_045824	processed_transcript
NR_027778	processed_transcript
NR_040665	antisense
NR_105038	lincRNA
NR_040466	antisense
NR_040527	lincRNA
NR_110507	lincRNA
NR_045340	processed_transcript
NR_045633	processed_transcript
NR_028586	processed_transcript
NR_040764	antisense
NR_033785	lincRNA
NR_033139	lincRNA
NR_045141	TEC
NR_038180	lincRNA
NR_138420	lincRNA
NR_038017	antisense
NR_073191	processed_transcript
NR_073013	lincRNA
NR_136884	lincRNA
NR_131933	lincRNA
NR_040726	processed_transcript
NR_040272	processed_transcript
NR_131035	lincRNA
NR_045266	antisense
NR_045955	antisense
NR_131970	processed_transcript
NR_002863	antisense
NR_038020	lincRNA
NR_045624	lincRNA
NR_105041	processed_transcript
NR_046025	processed_transcript
NR_040255	antisense
NR_040524	antisense
NR_046074	lincRNA
NR_045308	lincRNA
NR_040483	lincRNA
NR_002881	transcribed_processed_pseudogene
NR_002881	processed_transcript
NR_015552	lincRNA
NR_136921	antisense
NR_122115	processed_transcript
NR_122114	processed_transcript
NR_110475	lincRNA
NR_130176	sense_intronic
NR_045444	antisense
NR_038052	processed_transcript
NR_028141	processed_transcript
NR_045386	lincRNA
NR_033459	processed_transcript
NR_038065	processed_transcript
NR_077219	processed_transcript
NR_045875	antisense
NR_046194	antisense
NR_028053	retained_intron
NR_040511	processed_transcript
NR_033635	antisense
NR_134979	lincRNA
NR_134978	lincRNA
NR_026907	antisense
NR_026942	lincRNA
NR_003492	transcribed_processed_pseudogene
NR_045341	antisense
NR_027851	processed_transcript
NR_033552	antisense
NR_028574	retained_intron
NR_131152	lincRNA
NR_040618	antisense
NR_029443	processed_transcript
NR_040341	antisense
NR_015565	lincRNA
NR_130957	lincRNA
NR_045855	lincRNA
NR_045362	lincRNA
NR_033491	lincRNA
